vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
478,22,16,-2.0428965114984057,2.276161636687552,965,0,4,1,1,4,6,1,4,3,1,1122,3,1,0,0,3,6,1,4,2,2,1000,1,4,1,1,13,7,0,0,2,6,973,1,10,1,3,8,7,1,0,3,1,957,1,6,6,8,13,4,0,0,19,1,866,12,0,6,7,4,2,2,1,5,4,922,0,3,1,1,2,6,4,3,1,2,981,3,4,1,5,7,5,1,4,5,6,930,5,1,0,1,4,9,1,0,12,4,965
479,22,17,-2.135204096310802,2.218085096294049,965,0,4,1,1,4,6,2,4,3,1,1122,3,1,0,0,3,6,1,4,2,2,1002,1,4,1,1,12,6,0,0,2,5,974,1,10,1,3,8,7,1,0,2,1,956,1,6,6,8,13,4,0,0,18,0,866,12,0,5,6,4,2,2,1,5,4,922,0,3,1,1,2,6,4,4,1,2,981,3,4,1,5,7,5,1,4,5,6,931,5,1,0,1,4,10,1,0,12,5,966
480,22,18,-2.35361835311002,2.3225373887103227,963,0,4,2,1,4,5,2,4,3,1,1123,3,1,0,0,3,4,1,4,3,2,1003,1,4,1,1,12,6,0,0,2,5,974,1,9,1,3,9,6,1,0,2,1,958,1,6,6,7,14,5,0,0,17,0,867,13,0,5,5,4,2,2,1,5,4,922,0,3,1,1,2,6,4,3,1,2,982,3,4,1,4,6,5,1,4,5,7,932,5,1,0,1,4,9,1,0,12,4,967
481,22,19,-2.372706299779637,2.31628844050469,961,0,5,2,1,4,5,2,4,3,1,1123,3,1,0,0,3,4,1,4,4,2,1002,1,4,1,1,12,6,0,0,2,5,973,1,9,1,4,9,6,1,0,2,1,956,1,6,6,7,14,4,0,0,18,0,867,13,1,5,5,4,2,2,1,5,4,922,0,3,1,2,2,6,3,4,1,2,982,3,4,2,4,6,6,1,4,5,7,932,5,1,0,1,4,10,1,0,10,4,967
482,22,20,-2.4560786842353868,2.346276147078444,961,0,5,2,1,3,5,2,4,3,1,1123,3,1,0,0,3,4,1,3,4,2,1002,1,4,1,1,12,6,0,0,2,4,971,1,9,1,4,8,6,1,0,3,1,956,1,6,6,8,14,4,0,0,19,0,868,14,1,5,5,4,2,2,1,5,4,921,0,3,1,2,2,6,3,4,1,2,983,3,4,2,4,6,6,1,4,5,7,932,5,1,0,1,5,10,1,0,9,4,968
483,23,0,13.845101444305616,8.328920385202563,102,1,53,24,32,65,52,23,112,40,63,6,106,64,74,58,203,104,35,214,0,0,0,1,11,5,1,0,6,4,23,0,30,108,69,66,17,7,175,65,68,43,79,147,130,92,24,8,45,83,387,847,504,285,513,290,442,640,402,465,131,81,45,152,45,107,89,78,46,33,170,157,147,200,83,200,53,154,95,95,0,0,0,0,0,0,0,0,0,0,36,0,68,29,25,9,77,14,58,10
484,23,1,20.277208056844575,-0.038904609099225315,964,0,12,6,1,10,13,2,5,12,0,1111,10,0,2,3,4,13,9,8,2,1,922,16,3,4,4,28,7,2,2,3,18,915,0,27,3,6,16,8,0,0,10,1,911,9,13,8,11,25,2,0,0,34,1,796,16,1,26,7,6,4,14,1,13,15,903,0,10,1,2,2,12,11,2,3,0,938,8,8,2,14,26,17,8,18,2,1,872,5,0,0,8,9,41,7,0,31,10,933
485,23,2,16.15928400518544,-0.4498885931746381,965,0,7,3,1,7,10,1,5,10,0,1116,7,0,1,2,2,10,6,6,2,1,951,10,4,3,4,27,6,1,2,3,14,944,0,20,1,4,12,9,0,0,9,1,925,3,14,6,7,18,3,0,0,24,2,831,15,2,12,5,5,4,11,0,12,8,908,0,10,1,1,1,13,9,2,2,0,952,5,4,2,9,18,12,6,9,4,1,905,5,0,1,2,7,29,7,0,25,6,950
486,23,3,12.753731406329157,-1.1527493066827463,968,0,7,2,1,5,10,1,4,8,0,1118,6,0,1,1,3,9,7,6,2,3,969,7,5,2,4,23,5,1,1,2,10,960,0,17,1,4,11,7,0,0,7,1,933,2,12,4,8,17,2,0,0,15,0,842,16,3,11,3,4,3,7,0,12,7,910,0,7,1,0,1,12,8,2,2,0,961,5,3,2,7,12,11,5,7,2,0,914,6,1,1,2,6,23,7,0,23,2,957
487,23,4,9.243071520224705,-1.7487452234593417,969,0,8,2,1,5,7,2,4,5,0,1119,4,0,1,1,3,8,7,7,2,3,976,8,6,2,4,22,3,1,1,1,8,967,0,14,0,2,9,8,0,0,6,1,938,1,13,3,8,15,2,0,0,13,0,850,16,2,8,2,3,3,7,0,11,6,913,0,5,1,0,1,11,6,2,2,0,967,3,3,2,7,10,7,4,5,2,1,924,4,1,1,2,6,19,6,0,21,3,963
