"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
-0.903934739543358,7.692037851659963,5,"5d1a69d8f97a18001977e0d7","out_easy_task_2","out_easy_task_2",0.4285714285714286,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",1
-0.35123478688955084,-0.557430187701331,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-5.9614846300911335,2.402578362781903,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",6
-5.9768639539918444,2.6988221402713677,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}]",1
-6.400820858605198,2.843111408062055,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.19816856578026848, 'y': 0.6709035414113234}, {'x': 1.0, 'y': 1.0}]",3
-6.079482982879311,2.89953141578869,6,"5f26aaed7bb0bd4121461b6d","out_easy_task_2","out_easy_task_2",0.16666666666666663,True,1,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 1.0, 'y': 1.0}]",2
-0.35123478688955084,-0.557430187701331,7,"5e58fa19fc38d6104f798878","out_easy_task_2","out_easy_task_2",0.6666666666666667,False,-1,"easy",False,False,False,"N/A","[]",129
-0.3133381936011462,1.6759713964048737,7,"5e58fa19fc38d6104f798878","out_easy_task_2","out_easy_task_2",0.6666666666666667,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,7,"5e58fa19fc38d6104f798878","out_easy_task_2","out_easy_task_2",0.6666666666666667,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
