x,y,line,cp,algo,oldage,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1,multiplicity,age,groupLabel,clusterProbability
15.210359624420178,-27.357409262648286,22,0,0,16,br,,,,bk,bb,,br,bp,bb,bp,,bq,,bp,bp,,bp,bn,bp,bp,bn,,,,,,,,bp,,,,,,wp,,wb,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,,wr,,,wq,wk,,wr,,1,0.14678899082568808,-1,0
15.107059320744069,-27.4040687386948,22,0,0,17,br,,,,bk,bb,,br,bp,bb,bp,,bq,,bp,bp,,bp,bn,bp,bp,bn,,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,wr,,,wq,wk,,wr,,1,0.1559633027522936,-1,0
15.052737679385668,-27.451196992108162,22,0,0,18,br,,,,bk,bb,,br,bp,bb,bp,,bq,,,bp,,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,wr,,,wq,wk,,wr,,1,0.1651376146788991,-1,0
14.967993135488864,-27.464718002947,22,0,0,19,br,,,,bk,bb,,br,bp,bb,bp,,bq,,,bp,,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,wr,,,,wk,,wr,,1,0.1743119266055046,-1,0
14.8220374735411,-27.458979346617053,22,0,0,20,,,bk,br,,bb,,br,bp,bb,bp,,bq,,,bp,,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,wr,,,,wk,,wr,,1,0.1834862385321101,-1,0
-9.640842810388783,-41.29813774792852,22,0,0,21,,,bk,br,,bb,,br,bp,bb,bp,,bq,,,bp,,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,,,wk,wr,,,wr,,1,0.1926605504587156,-1,0
-9.715944305193842,-41.30185774285626,22,0,0,22,,,bk,br,,,,br,bp,bb,bp,,bq,,bb,bp,,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,wb,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,,,wk,wr,,,wr,,1,0.2018348623853211,-1,0
-9.74477960049109,-41.305740787354736,22,0,0,23,,,bk,br,,,,br,bp,bb,bp,,bq,,bb,bp,wb,bp,bn,bp,bp,bn,bp,,,,,,,bp,,,,,,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,,,wk,wr,,,wr,,1,0.21100917431192662,-1,0
-9.78157720560481,-41.3074245190526,22,0,0,24,,,bk,br,,,,br,bp,bb,bp,,bq,,bb,bp,wb,bp,bn,bp,,bn,bp,,,,,,bp,bp,,,,,,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,wq,wp,wp,wb,,,wk,wr,,,wr,,1,0.22018348623853212,-1,0
-9.8265791068122,-41.30465980862451,22,0,0,25,,,bk,br,,,,br,bp,bb,bp,,bq,,bb,bp,wb,bp,bn,bp,,bn,bp,,,,,,bp,bp,,,,,wq,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.22935779816513763,-1,0
-9.883606244022966,-41.300241972914016,22,0,0,26,,,bk,br,,,,br,bp,bb,bp,,bq,,bb,bp,wb,bp,,bp,,bn,bp,,bn,,,,bp,bp,,,,,wq,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.23853211009174313,-1,0
-9.931827382180192,-41.298143264919105,22,0,0,27,,,bk,br,,,,br,bp,wb,bp,,bq,,bb,bp,,bp,,bp,,bn,bp,,bn,,,,bp,bp,,,,,wq,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.24770642201834864,-1,0
-10.011916201892342,-41.28785333248142,22,0,0,28,,,,br,,,,br,bp,bk,bp,,bq,,bb,bp,,bp,,bp,,bn,bp,,bn,,,,bp,bp,,,,,wq,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.25688073394495414,-1,0
-10.075882031195977,-41.283780697187275,22,0,0,29,,,,br,,,,br,bp,bk,bp,,bq,,bb,bp,,bp,,bp,,bn,bp,,bn,,,,bp,bp,,,wq,,,wp,,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.26605504587155965,-1,0
-10.21882295980773,-41.27426274329566,22,0,0,30,,,,br,,,,br,bp,bk,bp,,bq,,bb,bp,,bp,,bp,,bn,bp,,bn,,,,,bp,,,wq,,,wp,bp,,,,,,,,wp,wn,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.27522935779816515,-1,0
-10.321379112613489,-41.266325120144984,22,0,0,31,,,,br,,,,br,bp,bk,bp,,bq,,bb,bp,,bp,,bp,,bn,bp,,bn,,,,,bp,,,wq,,,wp,bp,,,,,,,,wp,,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,wn,,wr,,1,0.28440366972477066,-1,0
-10.50646092645258,-41.257339778638176,22,0,0,32,,,,br,,,,br,bp,bk,bp,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,,,,bp,,bp,wq,,,wp,bp,,,,,,,,wp,,,wp,wp,wp,wp,wn,,wp,wp,wb,,,wk,wr,wn,,wr,,1,0.29357798165137616,-1,0
-10.604134017462583,-41.24307677727732,22,0,0,33,,,,br,,,,br,bp,bk,bp,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,,,,bp,,bp,wq,,wp,wp,bp,,,,,,,,wp,,,wp,wp,wp,,wn,,wp,wp,wb,,,wk,wr,wn,,wr,,1,0.30275229357798167,-1,0
-10.69821874795269,-41.239241934817905,22,0,0,34,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,bp,,,bp,,bp,wq,,wp,wp,bp,,,,,,,,wp,,,wp,wp,wp,,wn,,wp,wp,wb,,,wk,wr,wn,,wr,,1,0.3119266055045872,-1,0
