x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22,multiplicity,age,groupLabel,clusterProbability
0.3759382,-7.800095, 0, intermediate, beginner,W,W,O,G,W,W,R,O,G,G,B,W,O,G,Y,Y,G,Y,W,G,G,R,R,W,O,R,B,B,R,B,O,O,R,G,W,W,O,Y,O,Y,Y,G,Y,Y,Y,R,B,R,B,B,O,R,B,B,1,0.1956521739130435,-1,1
-0.52287626,-6.6656547, 0, intermediate, beginner,W,W,R,G,W,O,R,O,B,G,B,O,O,G,W,Y,G,G,G,W,B,G,R,R,W,R,O,B,R,B,O,O,R,G,W,W,O,Y,W,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,R,B,Y,1,0.20652173913043478,-1,1
0.2228014,-5.935045, 0, intermediate, beginner,R,G,W,O,W,W,B,O,R,W,G,G,O,G,W,Y,G,G,R,W,B,B,R,R,Y,R,O,B,R,G,O,O,B,G,W,O,O,Y,W,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,W,R,B,1,0.21739130434782608,-1,1
1.2540654,-7.6282654, 0, intermediate, beginner,R,G,G,O,W,W,B,O,G,W,G,W,O,G,Y,Y,G,Y,Y,B,R,R,R,W,O,R,B,B,R,G,O,O,B,G,W,O,O,Y,O,Y,Y,G,Y,Y,B,R,B,W,B,B,W,W,R,R,1,0.22826086956521738,-1,1
1.696718,-7.66647, 0, intermediate, beginner,B,O,R,O,W,G,G,W,G,O,R,Y,O,G,Y,Y,G,Y,W,B,R,R,R,W,R,R,B,B,R,W,O,O,G,G,W,W,O,Y,O,Y,Y,G,Y,Y,B,R,B,W,B,B,W,O,B,G,1,0.2391304347826087,-1,1
1.0702404,-5.7671285, 0, intermediate, beginner,B,O,W,O,W,W,G,W,G,O,R,R,O,G,G,Y,G,G,R,W,B,B,R,R,W,R,R,B,R,W,O,O,G,G,W,W,O,Y,Y,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,O,B,B,1,0.25,-1,1
0.6021555,-5.8350267, 0, intermediate, beginner,W,W,G,O,W,W,B,O,G,W,G,W,O,G,G,Y,G,G,R,W,B,R,R,R,O,R,R,B,R,B,O,O,B,G,W,O,O,Y,Y,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,R,B,W,1,0.2608695652173913,-1,1
-3.1736617,34.244686, 0, intermediate, beginner,B,R,B,O,W,W,B,O,G,W,G,W,O,G,G,Y,G,G,W,W,G,R,R,R,O,R,R,Y,Y,Y,O,O,B,G,W,O,O,Y,Y,Y,Y,Y,B,W,R,O,G,W,B,B,B,R,B,R,1,0.2717391304347826,-1,1
-2.8372207,34.42936, 0, intermediate, beginner,B,O,B,O,W,R,G,W,B,O,R,W,O,G,G,Y,G,G,R,W,G,B,R,R,R,R,R,Y,Y,W,O,O,G,G,W,W,O,Y,Y,Y,Y,Y,B,W,R,O,G,W,B,B,B,O,B,Y,1,0.2826086956521739,-1,1
-1.2187761,35.10337, 0, intermediate, beginner,R,W,B,O,W,R,G,W,B,O,R,W,O,G,G,Y,G,G,Y,Y,W,B,R,R,R,R,R,R,W,G,O,O,G,G,W,W,O,Y,Y,Y,Y,Y,B,O,B,Y,B,O,B,B,B,W,G,O,1,0.29347826086956524,-1,1
