x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-4.9819517, -10.455417, 0,state, 0, 32, 30, 30,R,G,B,R,W,W,G,Y,W,W,O,R,R,G,B,G,G,O,O,O,R,R,R,R,B,W,W,B,W,Y,G,O,G,O,B,R,Y,Y,G,W,Y,Y,O,Y,Y,Y,B,B,O,B,B,G,O,W
-4.9423513, -7.404427, 0,state, 0, 32, 31, 31,G,R,R,Y,W,G,W,W,B,B,R,O,R,G,B,G,G,O,G,O,R,O,R,R,W,W,W,B,W,W,G,O,O,O,B,R,Y,Y,G,W,Y,Y,O,Y,Y,Y,B,B,O,B,B,R,G,Y
3.6946197, 9.717282, 0,checkpoint, 0, 32, 32, 32,Y,R,R,W,W,G,O,W,B,Y,R,O,O,G,B,R,G,O,G,O,R,O,R,R,W,W,W,R,B,O,O,O,G,W,W,B,G,Y,G,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,G,G,Y
5.1253, 12.737907, 0,state, 0, 30, 33, 33,O,W,Y,W,W,R,B,G,R,W,O,G,O,G,B,R,G,O,G,O,R,G,R,R,Y,W,W,R,B,Y,O,O,R,W,W,O,G,Y,G,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,B,G,O
-28.944126, -6.4198284, 0,state, 0, 34, 34, 34,O,W,G,W,W,B,B,G,O,W,O,G,O,G,Y,R,G,Y,Y,G,G,W,R,O,W,R,R,R,B,Y,O,O,R,W,W,O,G,Y,B,Y,Y,B,W,Y,O,B,B,Y,R,B,R,B,G,R
-30.289433, -3.7248533, 0,state, 0, 37, 35, 35,G,B,O,W,W,G,O,W,B,Y,R,O,O,G,Y,R,G,Y,G,G,G,O,R,O,W,R,R,R,B,R,O,O,G,W,W,B,G,Y,B,Y,Y,B,W,Y,O,B,B,Y,R,B,R,Y,W,W
37.194363, 8.29158, 0,state, 0, 31, 36, 36,G,B,Y,W,W,R,O,W,W,Y,R,O,O,G,G,R,G,B,G,O,R,G,R,R,G,O,W,R,B,R,O,O,G,W,W,B,G,Y,O,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,Y,W,O
40.3629, 7.633078, 0,state, 0, 30, 37, 37,W,W,O,R,W,W,Y,B,G,O,W,Y,O,G,G,R,G,B,B,O,R,G,R,R,R,O,W,R,B,G,O,O,G,W,W,G,G,Y,O,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,O,R,Y
1.5435361, 17.267263, 0,state, 0, 31, 38, 38,W,W,O,R,W,W,R,O,W,Y,G,B,W,G,G,O,O,R,B,O,R,G,R,R,O,Y,G,R,B,G,O,O,G,Y,B,G,G,W,W,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,O,R,Y
2.791385, 14.842593, 0,state, 0, 27, 39, 39,O,W,W,W,W,O,W,R,R,G,G,G,W,G,G,O,O,R,B,O,R,G,R,R,Y,Y,G,R,B,Y,O,O,R,Y,B,O,G,W,W,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,B,G,O
35.497467, 11.471338, 0,state, 0, 25, 40, 40,O,W,W,W,W,O,Y,B,O,O,W,G,O,G,G,R,G,G,B,O,R,G,R,R,W,R,R,R,B,Y,O,O,R,W,W,G,G,Y,Y,Y,Y,Y,W,Y,Y,B,B,B,R,B,B,B,G,O
47.422333, 12.689163, 0,state, 0, 30, 41, 41,R,B,Y,W,W,O,Y,B,O,O,W,G,O,G,G,R,G,G,O,W,W,G,R,R,W,R,R,Y,Y,W,O,O,R,W,W,G,G,Y,Y,Y,Y,Y,R,O,B,B,B,O,B,B,G,B,R,B
45.87131, 18.665216, 0,state, 0, 30, 42, 42,Y,W,R,B,W,B,O,O,Y,W,G,O,O,G,G,R,G,G,B,W,W,R,R,R,B,R,R,Y,Y,O,O,O,W,W,W,G,G,Y,Y,Y,Y,Y,R,O,B,B,B,O,B,B,G,G,R,W
39.172543, 18.672104, 0,state, 0, 27, 43, 43,B,W,W,B,W,B,O,O,Y,W,G,O,O,G,G,R,G,G,B,O,R,R,R,R,B,R,R,Y,W,R,O,O,W,W,W,G,G,Y,Y,Y,Y,Y,O,Y,Y,G,B,B,R,B,B,W,G,O
37.21643, 14.5909195, 0,state, 0, 28, 44, 44,O,B,B,O,W,W,Y,B,W,B,R,B,O,G,G,R,G,G,W,O,R,G,R,R,O,R,R,Y,W,W,O,O,G,W,W,O,G,Y,Y,Y,Y,Y,O,Y,Y,G,B,B,R,B,B,G,W,R
42.36031, 25.239126, 0,state, 0, 28, 45, 45,W,O,R,O,W,W,Y,B,W,B,R,B,O,G,G,R,G,G,Y,Y,O,G,R,R,O,R,R,O,B,B,O,O,G,W,W,O,G,Y,Y,Y,Y,Y,W,W,Y,G,R,G,W,B,B,R,B,B
41.241722, 22.138557, 0,state, 0, 29, 46, 46,R,W,W,O,W,B,W,O,Y,B,G,O,O,G,G,R,G,G,B,Y,O,R,R,R,B,R,R,O,B,B,O,O,B,W,W,R,G,Y,Y,Y,Y,Y,W,W,Y,G,R,G,W,B,B,Y,G,O
42.58618, 19.054438, 0,state, 0, 31, 47, 47,O,B,B,O,W,B,W,O,Y,B,G,O,O,G,G,R,G,G,R,W,W,R,R,R,B,R,R,Y,W,W,O,O,B,W,W,R,G,Y,Y,Y,Y,Y,O,Y,B,G,B,O,R,B,G,G,W,Y
42.425537, 16.274158, 0,state, 0, 32, 48, 48,O,B,O,O,W,G,W,O,G,B,G,Y,O,G,Y,R,G,B,B,R,R,R,R,W,R,R,W,Y,W,W,O,O,B,W,W,R,G,Y,O,Y,Y,G,O,Y,Y,G,B,B,R,B,B,G,W,Y
49.12846, 16.831009, 0,state, 0, 33, 49, 49,Y,W,W,O,W,G,W,O,G,B,G,Y,O,G,Y,R,G,B,O,B,O,R,R,W,R,R,W,Y,Y,O,O,O,B,W,W,R,G,Y,O,Y,Y,G,R,R,B,B,B,Y,B,B,W,G,R,G
45.999653, 15.726437, 0,state, 0, 28, 50, 50,Y,W,Y,O,W,W,W,O,G,B,G,W,O,G,G,R,G,G,O,W,W,B,R,R,O,R,R,Y,Y,O,O,O,B,W,W,R,G,Y,Y,Y,Y,Y,R,R,B,B,B,O,B,B,G,G,R,B
39.686993, 15.655674, 0,state, 0, 24, 51, 51,O,W,W,O,W,W,W,O,G,B,G,W,O,G,G,R,G,G,B,R,R,B,R,R,O,R,R,Y,W,Y,O,O,B,W,W,R,G,Y,Y,Y,Y,Y,O,Y,Y,G,B,B,R,B,B,B,G,O
31.954592, 9.464748, 0,state, 0, 27, 52, 52,G,W,W,R,W,W,B,O,G,O,G,W,O,G,G,W,G,G,B,R,R,B,R,R,O,R,R,W,O,Y,W,O,W,R,B,Y,B,Y,Y,O,Y,Y,R,Y,Y,G,B,B,Y,B,B,O,G,O
31.651903, 6.653126, 0,state, 0, 24, 53, 53,W,W,G,W,W,O,G,R,B,Y,W,Y,O,G,G,W,G,G,W,R,R,G,R,R,O,R,R,W,O,O,W,O,G,R,B,O,B,Y,Y,O,Y,Y,R,Y,Y,G,B,B,Y,B,B,B,B,O
35.63682, 17.400408, 0,state, 0, 25, 54, 54,Y,W,G,O,W,O,W,R,B,B,W,Y,O,G,G,R,G,G,W,R,R,G,R,R,O,R,R,O,G,O,O,O,B,W,W,R,G,Y,Y,Y,Y,Y,B,Y,Y,W,B,B,W,B,B,G,B,O
33.485645, 14.896017, 0,state, 0, 23, 55, 55,B,R,W,O,W,O,G,W,Y,O,B,G,O,G,G,R,G,G,R,R,R,B,R,R,O,R,R,O,G,O,O,O,G,W,W,W,G,Y,Y,Y,Y,Y,B,Y,Y,W,B,B,W,B,B,Y,W,B
44.22343, 10.066824, 0,state, 0, 30, 56, 56,O,G,O,O,W,O,G,W,Y,O,B,G,O,G,G,R,G,G,B,R,W,B,R,R,O,R,R,Y,Y,B,O,O,G,W,W,W,G,Y,Y,Y,Y,Y,R,R,R,B,B,B,B,B,W,W,W,Y
42.90081, 12.719821, 0,state, 0, 28, 57, 57,O,O,Y,G,W,W,O,O,G,B,G,W,O,G,G,R,G,G,G,R,W,B,R,R,O,R,R,Y,Y,Y,O,O,W,W,W,W,G,Y,Y,Y,Y,Y,R,R,R,B,B,B,B,B,W,B,B,O
39.188797, 11.880721, 0,state, 0, 20, 58, 58,G,R,W,G,W,W,O,O,G,B,G,W,O,G,G,R,G,G,R,R,R,B,R,R,O,R,R,O,O,Y,O,O,W,W,W,W,G,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,W,B
21.346983, 4.705217, 0,state, 0, 21, 59, 59,W,W,G,R,W,O,G,G,O,Y,W,W,O,G,G,R,G,G,W,R,R,G,R,R,B,R,R,O,O,B,O,O,W,W,W,O,G,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,O
0.50194454, 3.8900907, 0,state, 0, 24, 60, 60,W,W,G,R,W,O,W,W,O,R,O,Y,G,G,W,G,G,W,W,R,R,G,R,R,G,G,O,O,O,B,O,O,W,Y,Y,G,R,R,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,O
-7.6205482, 1.844018, 0,state, 0, 20, 61, 61,W,R,W,W,W,W,O,O,G,G,G,W,G,G,W,G,G,W,R,R,R,B,R,R,O,G,O,O,O,R,O,O,O,Y,Y,Y,R,R,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,W,B
-15.062173, -3.284897, 0,state, 0, 24, 62, 62,W,R,W,W,W,W,O,O,W,G,G,B,G,G,Y,G,G,Y,O,B,R,G,R,R,O,R,R,O,O,R,O,O,O,Y,Y,Y,R,R,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,G,W,G
-22.61855, -1.0113592, 0,state, 0, 26, 63, 63,O,W,W,O,W,R,W,W,W,O,G,O,G,G,Y,G,G,Y,G,B,R,W,R,R,G,R,R,O,O,G,O,O,G,Y,Y,B,R,R,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,Y,O,R
-13.874062, 7.1168613, 0,state, 0, 21, 64, 64,O,W,W,O,W,W,W,W,R,O,G,W,G,G,R,G,G,W,R,R,R,B,R,R,G,W,G,O,O,G,O,O,G,Y,Y,B,R,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,O,B
-5.120537, 3.6743457, 0,state, 0, 20, 65, 65,W,W,R,W,W,W,O,O,W,G,G,B,G,G,R,G,G,W,W,R,R,G,R,R,O,W,G,O,O,B,O,O,O,Y,Y,Y,R,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,G
9.085991, -5.3302813, 0,checkpoint, 0, 13, 66, 66,W,W,R,W,W,W,O,W,G,B,R,W,G,G,G,G,G,G,W,R,R,G,R,R,O,R,R,O,O,B,O,O,O,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,G
37.813194, -10.00034, 0,state, 0, 21, 67, 67,W,R,R,W,W,W,O,W,G,B,R,W,G,G,G,G,G,G,Y,Y,Y,G,R,R,O,R,R,W,W,R,O,O,O,O,O,W,Y,Y,Y,Y,Y,Y,B,O,O,R,B,B,B,B,B,G,B,B
