x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-58.340843, -4.604258, 10, intermediate, beginner,R,W,R,W,W,W,G,R,Y,O,G,R,O,G,G,G,G,B,W,R,B,G,R,B,G,O,Y,W,O,W,R,O,B,O,W,W,Y,Y,R,Y,Y,Y,O,Y,Y,B,O,O,B,B,B,B,R,G
-55.178978, -12.656071, 10, intermediate, beginner,R,W,R,W,W,W,O,W,W,G,O,O,G,G,G,B,G,R,W,R,B,G,R,B,G,R,Y,W,O,W,R,O,B,R,Y,Y,Y,O,G,Y,Y,Y,O,Y,Y,B,O,O,B,B,B,B,R,G
-49.683193, -6.2688584, 10, intermediate, beginner,R,W,R,W,W,W,O,W,W,G,O,O,G,G,G,W,R,R,W,R,R,G,R,G,G,R,B,O,O,W,O,O,B,B,Y,Y,O,Y,Y,Y,Y,O,Y,Y,G,B,B,Y,B,B,B,B,R,G
-56.334366, -0.7225088, 10, intermediate, beginner,R,W,R,W,W,W,G,R,B,O,G,R,O,G,R,G,G,W,W,R,R,G,R,G,Y,Y,O,O,O,W,O,O,B,O,W,W,Y,Y,B,Y,Y,O,Y,Y,G,B,B,Y,B,B,B,B,R,G
-59.825813, -4.0623965, 10, intermediate, beginner,R,W,R,W,W,W,G,R,B,O,G,R,O,G,R,O,G,R,W,R,B,G,R,B,Y,Y,Y,G,O,W,G,O,B,W,W,W,B,O,G,Y,Y,Y,Y,Y,Y,O,O,O,B,B,B,B,R,G
-57.644817, -15.558457, 10, intermediate, beginner,R,W,R,W,W,W,W,W,W,O,O,O,G,G,G,R,R,R,W,R,B,G,R,B,G,R,B,G,O,W,G,O,B,G,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,O,O,B,B,B,B,R,G
-41.730614, 1.6522471, 10, intermediate, beginner,R,W,R,W,W,W,W,W,W,O,O,O,G,G,G,G,G,G,W,R,R,G,R,R,G,R,R,O,O,W,O,O,B,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,G
-48.804913, 6.652933, 10, intermediate, beginner,R,W,W,W,W,W,R,W,W,W,B,B,G,G,G,G,G,G,O,R,R,O,R,R,O,R,R,O,O,G,O,O,R,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,G,G
5.866702, 52.843212, 10, intermediate, beginner,R,W,W,W,W,W,O,R,R,B,G,G,B,G,G,W,G,G,O,R,R,O,R,R,Y,Y,Y,O,O,G,O,O,R,R,W,W,B,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,G,G
-59.823036, -7.058077, 10, intermediate, beginner,R,W,W,W,W,W,O,R,R,B,G,G,B,G,G,Y,R,R,O,R,B,O,R,B,Y,Y,B,W,O,G,G,O,R,G,W,W,O,Y,Y,O,Y,Y,B,Y,Y,R,O,O,B,B,B,W,G,G
