x,y,line,cp,algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-56.216045, 26.048615, 167,state, 1, 23, 63, 18718,O,W,W,O,W,W,R,W,O,W,G,W,G,G,R,G,G,G,G,R,R,B,R,R,B,W,O,O,O,G,O,O,G,Y,Y,B,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,O,R
-50.74057, 5.488729, 167,state, 1, 19, 64, 18719,W,W,O,W,W,W,O,O,R,G,G,B,G,G,R,G,G,G,W,R,R,G,R,R,W,W,O,O,O,R,O,O,O,Y,Y,Y,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
-3.6426644, 54.53056, 167,checkpoint, 1, 10, 65, 18720,W,W,O,W,W,W,W,W,O,B,R,G,G,G,G,G,G,G,W,R,R,G,R,R,W,R,R,O,O,R,O,O,O,O,O,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
2.4760246, 50.732162, 167,state, 1, 13, 66, 18721,W,W,W,W,W,W,O,W,O,W,G,W,G,G,G,G,G,G,G,R,R,B,R,R,B,R,R,O,O,B,O,O,R,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,O,R
54.59545, -4.1177325, 167,state, 1, 21, 67, 18722,W,W,W,W,W,G,O,W,G,W,G,Y,G,G,Y,G,G,Y,B,B,G,R,R,R,R,R,R,O,O,B,O,O,R,O,O,G,Y,Y,B,Y,Y,B,Y,Y,R,B,B,W,B,B,W,R,O,O
48.344673, -35.50266, 167,state, 1, 22, 68, 18723,O,W,W,W,W,W,G,G,W,R,R,B,G,G,Y,G,G,Y,R,B,G,O,R,R,O,R,R,O,O,W,O,O,G,O,O,Y,Y,Y,B,Y,Y,B,Y,Y,R,B,B,W,B,B,W,G,R,B
38.848446, -20.84371, 167,state, 1, 20, 69, 18724,O,W,W,W,W,W,G,G,B,R,R,W,G,G,W,G,G,W,G,R,R,B,R,R,R,O,O,O,O,W,O,O,G,O,O,Y,Y,Y,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,R,R
29.22516, -28.809628, 167,state, 1, 18, 70, 18725,G,W,O,G,W,W,B,W,W,R,B,G,G,G,W,G,G,W,G,R,R,R,R,R,R,O,O,O,O,R,O,O,R,O,O,W,Y,Y,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,G,W
40.611073, -49.26613, 167,state, 1, 23, 71, 18726,G,W,G,G,W,W,B,W,W,R,B,B,G,G,Y,G,G,Y,R,R,G,O,R,R,O,R,R,O,O,R,O,O,R,O,O,W,Y,Y,B,Y,Y,B,Y,Y,W,B,B,O,B,B,W,Y,G,W
50.02293, -4.1593885, 167,state, 1, 17, 72, 18727,W,W,B,W,W,G,G,W,G,W,G,Y,G,G,Y,G,G,Y,W,R,G,R,R,R,R,R,R,O,O,O,O,O,O,O,O,R,Y,Y,B,Y,Y,B,Y,Y,W,B,B,O,B,B,W,B,B,R
-1.3023595, 52.566147, 167,checkpoint, 1, 9, 73, 18728,W,W,O,W,W,W,G,W,R,W,G,B,G,G,G,G,G,G,G,R,R,R,R,R,W,R,R,O,O,O,O,O,O,O,O,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,W
3.7590702, 47.182762, 167,state, 1, 14, 74, 18729,G,W,W,W,W,W,R,W,O,W,R,G,G,G,G,G,G,G,B,R,R,B,R,R,W,R,R,O,O,W,O,O,G,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,O,O
49.689487, 0.7654788, 167,state, 1, 24, 75, 18730,G,W,G,W,W,G,R,W,G,W,R,Y,G,G,Y,G,G,Y,W,B,B,R,R,R,R,R,R,O,O,W,O,O,G,O,O,B,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,R,O,O
42.201466, -52.02713, 167,state, 1, 26, 76, 18731,G,W,R,G,W,W,G,W,G,O,O,R,G,G,Y,G,G,Y,B,B,B,G,R,R,W,R,R,O,O,R,O,O,R,O,O,W,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,Y,R,W
30.007805, -25.82246, 167,state, 1, 19, 77, 18732,G,W,W,G,W,W,G,W,W,O,O,R,G,G,W,G,G,G,B,R,R,B,R,R,B,G,W,O,O,R,O,O,R,O,O,W,Y,Y,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,R,O
40.572803, -24.02052, 167,state, 1, 14, 78, 18733,W,W,W,W,W,W,G,G,G,R,R,W,G,G,W,G,G,G,R,R,R,O,R,R,O,G,W,O,O,O,O,O,R,O,O,Y,Y,Y,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,B
51.67852, -36.657875, 167,state, 1, 20, 79, 18734,W,W,W,W,W,W,G,G,G,R,R,R,G,G,Y,G,G,Y,O,O,R,G,R,R,W,R,R,O,O,O,O,O,R,O,O,Y,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,B,B,G
59.082977, -9.985093, 167,state, 1, 20, 80, 18735,W,W,G,W,W,G,W,W,G,O,R,Y,G,G,Y,G,G,Y,R,O,R,R,R,R,R,R,R,O,O,G,O,O,B,O,O,B,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,O,G,W
-4.5539126, 59.544014, 167,checkpoint, 1, 8, 81, 18736,W,W,W,W,W,W,W,W,W,O,R,G,G,G,G,G,G,G,R,R,R,O,R,R,R,R,R,O,O,G,O,O,B,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,G,B
3.7931032, 61.223644, 167,state, 1, 9, 82, 18737,W,W,W,W,W,W,W,W,W,R,O,R,G,G,G,G,G,G,O,R,R,G,R,R,B,R,R,O,O,O,O,O,R,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,G
-41.56209, 31.877476, 167,state, 1, 19, 83, 18738,W,W,W,W,W,W,Y,Y,Y,G,G,G,G,G,G,R,O,R,O,R,R,G,R,R,O,O,G,O,O,O,O,O,R,B,R,R,W,W,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,G
-26.948294, -28.766317, 167,state, 1, 24, 84, 18739,W,W,W,W,W,Y,Y,Y,Y,G,G,B,G,G,B,R,O,G,G,O,O,R,R,G,R,R,O,O,O,O,O,O,R,B,R,R,W,W,W,Y,Y,W,Y,Y,Y,B,B,G,B,B,G,B,B,R
-29.150711, -35.00233, 167,state, 1, 26, 85, 18740,W,W,W,W,W,Y,B,R,R,R,G,G,O,G,G,G,B,B,G,O,O,R,R,G,Y,Y,Y,O,O,O,O,O,R,W,W,W,O,R,R,Y,Y,W,Y,Y,Y,B,B,G,B,B,G,B,B,R
-29.826294, -32.36564, 167,state, 1, 34, 86, 18741,B,W,W,B,W,Y,B,R,R,W,G,G,W,G,G,B,B,B,G,O,O,R,R,G,Y,Y,Y,W,O,O,W,O,O,W,R,O,R,R,R,O,Y,W,G,Y,Y,O,B,G,Y,B,G,Y,B,R
-29.590883, -28.78407, 167,state, 1, 32, 87, 18742,B,W,W,B,W,Y,Y,Y,Y,G,G,B,G,G,B,W,W,B,G,O,O,R,R,G,R,R,R,W,O,O,W,O,O,B,R,R,O,R,W,O,Y,W,G,Y,Y,O,B,G,Y,B,G,Y,B,R
-41.010754, -18.883177, 167,state, 1, 25, 88, 18743,B,W,W,B,W,W,Y,Y,Y,G,G,G,G,G,G,W,W,R,R,R,R,G,R,R,O,O,G,W,O,O,W,O,O,B,R,R,O,R,W,O,Y,Y,G,Y,Y,O,B,B,Y,B,B,Y,B,B
-43.47771, -14.778299, 167,state, 1, 24, 89, 18744,B,W,W,B,W,W,B,R,R,W,G,G,W,G,G,R,G,G,R,R,R,G,R,R,Y,Y,Y,W,O,O,W,O,O,W,R,O,G,O,O,O,Y,Y,G,Y,Y,O,B,B,Y,B,B,Y,B,B
-37.858932, -12.479122, 167,state, 1, 15, 90, 18745,W,W,W,W,W,W,R,R,R,G,G,G,O,G,G,G,G,G,R,R,R,G,R,R,Y,Y,Y,O,O,O,O,O,R,W,W,W,O,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,B
-9.117282, 62.43629, 167,state, 1, 3, 91, 18746,W,W,W,W,W,W,W,W,W,G,O,G,G,G,G,G,G,G,R,R,R,G,R,R,R,R,R,O,O,O,O,O,R,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,B
54.541553, 11.883451, 167,state, 1, 15, 92, 18747,W,W,Y,W,W,Y,W,W,Y,G,O,B,G,G,B,G,G,B,R,R,R,R,R,G,R,R,R,O,O,O,O,O,R,O,O,O,Y,Y,W,Y,Y,W,Y,Y,W,B,B,G,B,B,G,B,B,G
58.5647, -25.93407, 167,state, 1, 22, 93, 18748,W,W,W,W,W,W,Y,Y,Y,R,R,R,G,G,B,G,G,B,B,R,R,B,R,G,G,R,R,O,O,G,O,O,O,O,O,B,Y,Y,W,Y,Y,W,Y,Y,W,B,B,G,B,B,G,O,R,O
64.99173, -19.009415, 167,state, 1, 24, 94, 18749,W,W,R,W,W,B,Y,Y,B,R,R,W,G,G,W,G,G,W,G,B,B,R,R,R,R,G,R,O,O,G,O,O,O,O,O,B,Y,Y,G,Y,Y,G,Y,Y,O,B,B,W,B,B,W,O,R,Y
40.13453, -32.341583, 167,state, 1, 24, 95, 18750,Y,W,W,Y,W,W,B,B,R,R,R,G,G,G,W,G,G,W,O,B,B,R,R,R,Y,G,R,O,O,R,O,O,R,O,O,W,Y,Y,G,Y,Y,G,Y,Y,O,B,B,W,B,B,W,B,O,G
38.185425, -37.4949, 167,state, 1, 25, 96, 18751,Y,W,W,Y,W,W,B,B,G,R,R,W,G,G,W,G,G,R,B,R,R,B,R,G,O,R,Y,O,O,R,O,O,R,O,O,W,Y,Y,G,Y,Y,W,Y,Y,W,B,B,G,B,B,G,B,O,O
52.83037, -26.110863, 167,state, 1, 20, 97, 18752,W,W,G,W,W,B,Y,Y,B,R,R,W,G,G,W,G,G,R,W,R,R,R,R,G,R,R,Y,O,O,O,O,O,O,O,O,B,Y,Y,G,Y,Y,W,Y,Y,W,B,B,G,B,B,G,B,B,O
58.94086, -32.20685, 167,state, 1, 19, 98, 18753,W,W,G,W,W,G,Y,Y,O,R,R,G,G,G,B,G,G,B,R,G,Y,R,R,R,W,R,R,O,O,O,O,O,O,O,O,B,Y,Y,W,Y,Y,W,Y,Y,R,B,B,G,B,B,W,B,B,W
55.30346, -16.500702, 167,state, 1, 24, 99, 18754,G,G,O,W,W,Y,W,W,Y,O,O,B,G,G,B,G,G,B,G,G,Y,R,R,R,R,R,R,O,O,W,O,O,B,O,O,B,Y,Y,W,Y,Y,W,Y,Y,R,B,B,G,B,B,W,R,R,W
36.80668, -7.741355, 167,state, 1, 22, 100, 18755,G,G,G,W,W,W,W,W,W,O,O,O,G,G,Y,G,G,Y,Y,R,R,G,R,R,G,R,R,O,O,W,O,O,B,O,O,B,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,R,R,R
60.93124, -9.176961, 167,state, 1, 12, 101, 18756,W,W,G,W,W,G,W,W,G,G,G,Y,G,G,Y,G,G,Y,R,R,R,R,R,R,R,R,R,O,O,O,O,O,O,O,O,O,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,B,B,W
-15.691816, 58.828503, 167,end, 1, 0, 102, 18757,W,W,W,W,W,W,W,W,W,G,G,G,G,G,G,G,G,G,R,R,R,R,R,R,R,R,R,O,O,O,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,B
-17.303898, -14.530315, 168,start, 0, 44, 0, 18758,W,O,Y,R,W,R,W,B,G,R,W,O,W,G,Y,G,G,O,B,Y,O,W,R,O,Y,B,Y,B,Y,B,W,O,B,Y,G,G,R,O,B,O,Y,B,W,G,G,O,R,W,G,B,R,R,Y,R
-17.611946, -14.704782, 168,state, 0, 43, 1, 18759,W,O,O,R,W,Y,W,B,O,R,W,B,W,G,B,G,G,G,Y,W,B,B,R,Y,Y,O,O,B,Y,B,W,O,B,Y,G,G,R,O,W,O,Y,R,W,G,R,O,R,Y,G,B,R,R,Y,G
-17.53613, -14.715447, 168,state, 0, 40, 2, 18760,W,R,W,B,W,O,O,Y,O,Y,B,Y,W,G,B,G,G,G,R,W,B,Y,R,Y,G,O,O,B,Y,R,W,O,W,Y,G,B,R,O,W,O,Y,R,W,G,R,O,R,Y,G,B,R,G,B,B
-17.055235, -14.421188, 168,state, 0, 42, 3, 18761,W,R,Y,B,W,R,O,Y,B,Y,B,W,W,G,O,G,G,O,B,Y,O,W,R,O,R,Y,G,B,Y,R,W,O,W,Y,G,B,R,O,Y,O,Y,B,W,G,G,O,R,W,G,B,R,G,B,R
-16.513935, -14.144134, 168,state, 0, 43, 4, 18762,W,R,Y,B,W,R,Y,O,R,O,G,G,O,G,W,W,B,Y,B,Y,O,W,R,O,Y,G,B,B,Y,R,W,O,W,R,Y,G,B,Y,O,O,Y,B,W,G,G,O,R,W,G,B,R,G,B,R
-15.881717, -14.109274, 168,state, 0, 41, 5, 18763,W,R,Y,B,W,R,Y,O,R,O,G,G,O,G,W,B,O,O,B,Y,O,W,R,R,Y,G,W,W,Y,R,B,O,W,Y,Y,G,O,B,G,Y,Y,G,B,O,W,R,W,B,G,B,R,G,B,R
-15.492434, -14.0250025, 168,state, 0, 37, 6, 18764,W,R,Y,B,W,R,Y,G,W,G,W,O,G,G,O,O,O,B,B,Y,O,W,R,R,G,B,O,W,Y,R,B,O,W,Y,O,R,G,Y,Y,Y,Y,G,B,O,W,R,W,B,G,B,R,G,B,R
-14.553989, -13.712958, 168,state, 0, 35, 7, 18765,W,R,Y,B,W,R,Y,G,W,G,W,O,G,G,O,O,R,O,B,Y,R,W,R,W,G,B,B,O,Y,R,O,O,W,B,O,R,Y,G,W,Y,Y,O,G,Y,B,Y,B,W,G,B,R,G,B,R
-14.32311, -13.641482, 168,state, 0, 34, 8, 18766,W,R,W,B,W,R,Y,G,R,G,W,Y,G,G,R,O,R,W,R,W,B,Y,R,B,B,W,G,O,Y,R,O,O,W,B,O,R,Y,G,O,Y,Y,O,G,Y,O,Y,B,W,G,B,O,G,B,B
-13.827941, -13.436021, 168,state, 0, 38, 9, 18767,Y,B,W,G,W,R,R,R,W,B,Y,R,G,G,R,O,R,W,G,W,B,B,R,B,B,W,G,O,Y,G,O,O,W,B,O,Y,Y,G,O,Y,Y,O,G,Y,O,Y,B,W,G,B,O,R,W,R
-13.588822, -13.425846, 168,state, 0, 39, 10, 18768,Y,B,R,G,W,R,R,R,W,B,Y,O,G,G,O,O,R,O,B,B,G,W,R,W,G,B,B,O,Y,G,O,O,W,B,O,Y,Y,G,W,Y,Y,O,G,Y,R,Y,B,W,G,B,R,R,W,W
-13.0064335, -13.128257, 168,state, 0, 40, 11, 18769,Y,B,R,G,W,R,B,O,Y,O,G,B,R,G,Y,O,O,O,B,B,G,W,R,W,R,R,W,O,Y,G,O,O,W,W,G,Y,B,B,G,Y,Y,O,G,Y,R,Y,B,W,G,B,R,R,W,W
-12.627495, -12.692865, 168,state, 0, 39, 12, 18770,Y,B,B,G,W,Y,B,O,O,O,G,G,R,G,O,O,O,R,R,W,B,R,R,B,W,W,G,O,Y,G,O,O,W,W,G,Y,B,B,W,Y,Y,R,G,Y,W,Y,B,R,G,B,R,R,W,Y
