x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
5.0729313, 7.1593103, 0,state, 0, 32, 30, 30,O,O,Y,W,W,Y,B,R,B,O,W,O,O,G,W,G,G,R,R,R,W,R,R,R,W,B,B,O,B,W,O,O,G,R,W,Y,W,Y,Y,Y,Y,G,G,Y,R,Y,B,B,O,B,B,G,G,G
6.9382067, 7.1419587, 0,state, 0, 33, 31, 31,Y,Y,B,O,W,R,O,W,B,W,G,Y,O,G,W,G,G,R,O,R,W,W,R,R,O,B,B,O,B,G,O,O,G,R,W,G,W,Y,Y,Y,Y,G,G,Y,R,Y,B,B,O,B,B,R,R,W
6.8740187, 6.926474, 0,state, 0, 34, 32, 32,Y,Y,B,O,W,B,O,W,W,W,G,B,O,G,R,G,G,B,W,R,B,R,R,B,O,W,O,O,B,G,O,O,G,R,W,G,W,Y,Y,Y,Y,W,G,Y,R,Y,B,Y,O,B,G,R,R,R
5.5000615, 6.557563, 0,state, 0, 33, 33, 33,O,O,Y,W,W,Y,W,B,B,O,R,W,O,G,R,G,G,B,R,R,B,R,R,B,R,W,O,O,B,W,O,O,G,R,W,B,W,Y,Y,Y,Y,W,G,Y,R,Y,B,Y,O,B,G,G,G,G
-19.72193, 2.730938, 0,state, 0, 28, 34, 34,O,O,Y,W,W,W,W,B,R,O,R,Y,O,G,G,G,G,G,O,W,R,B,R,R,B,R,R,O,B,W,O,O,G,R,W,B,W,Y,Y,Y,Y,Y,G,Y,B,Y,B,W,O,B,R,G,G,B
-20.651203, 2.6478922, 0,state, 0, 25, 35, 35,Y,W,R,O,W,B,O,W,W,W,G,B,O,G,G,G,G,G,Y,W,R,R,R,R,O,R,R,O,B,B,O,O,G,R,W,G,W,Y,Y,Y,Y,Y,G,Y,B,Y,B,W,O,B,R,O,B,B
-21.95133, 2.2210553, 0,state, 0, 27, 36, 36,O,B,B,O,W,B,O,W,W,W,G,B,O,G,G,G,G,G,Y,W,R,R,R,R,O,R,R,B,Y,G,O,O,G,R,W,G,W,Y,Y,Y,Y,Y,R,W,Y,W,R,B,B,B,B,Y,O,O
-21.79939, 2.1253283, 0,state, 0, 29, 37, 37,O,O,O,W,W,B,W,B,B,O,R,Y,O,G,G,G,G,G,Y,W,R,O,R,R,O,R,R,B,Y,W,O,O,G,R,W,B,W,Y,Y,Y,Y,Y,R,W,Y,W,R,B,B,B,B,G,G,G
-20.141125, 2.0668685, 0,state, 0, 25, 38, 38,Y,W,R,W,W,B,W,B,B,O,R,Y,O,G,G,G,G,G,Y,W,R,O,R,R,O,R,R,O,O,O,O,O,G,R,W,B,W,Y,Y,Y,Y,Y,W,Y,B,G,B,W,G,B,R,G,B,B
-19.742615, 1.1614755, 0,state, 0, 27, 39, 39,Y,W,W,W,W,R,W,B,B,O,R,R,O,G,B,G,G,B,R,R,R,W,R,R,Y,O,O,O,O,O,O,O,G,R,W,B,W,Y,Y,Y,Y,G,W,Y,G,G,B,Y,G,B,Y,G,B,B
-19.571112, -0.28510916, 0,state, 0, 28, 40, 40,W,R,B,W,W,B,Y,W,W,O,G,B,O,G,B,G,G,B,R,R,R,R,R,R,O,O,O,O,O,B,O,O,B,R,W,G,W,Y,Y,Y,Y,G,W,Y,G,G,B,Y,G,B,Y,R,W,Y
-19.476316, -0.7281067, 0,state, 0, 23, 41, 41,W,R,B,W,W,B,Y,W,B,O,G,Y,O,G,G,G,G,G,O,R,R,O,R,R,O,R,R,O,O,B,O,O,B,R,W,G,W,Y,Y,Y,Y,Y,W,Y,Y,G,B,B,G,B,B,R,W,W
-17.488842, -1.6812991, 0,state, 0, 23, 42, 42,B,B,B,R,W,W,W,W,Y,B,B,G,O,G,G,G,G,G,Y,R,R,G,R,R,O,R,R,O,O,W,O,O,W,R,W,R,W,Y,Y,Y,Y,Y,W,Y,Y,G,B,B,G,B,B,O,O,O
-16.775879, -2.9526608, 0,state, 0, 26, 43, 43,G,B,B,G,W,W,O,W,Y,B,B,G,R,G,G,W,G,G,Y,R,R,G,R,R,O,R,R,R,O,O,W,O,O,R,W,W,B,Y,Y,O,Y,Y,G,Y,Y,W,B,B,Y,B,B,W,O,O
-16.10407, -3.1654181, 0,state, 0, 27, 44, 44,B,W,Y,B,W,W,G,G,O,O,O,W,R,G,G,W,G,G,G,R,R,B,R,R,B,R,R,R,O,O,W,O,O,R,W,W,B,Y,Y,O,Y,Y,G,Y,Y,W,B,B,Y,B,B,Y,G,O
-16.557205, -1.0236584, 0,state, 0, 21, 45, 45,O,W,Y,R,W,W,W,G,O,B,O,W,O,G,G,G,G,G,G,R,R,B,R,R,B,R,R,O,O,W,O,O,W,R,W,R,W,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,G,O
-18.482218, -2.1013758, 0,state, 0, 19, 46, 46,W,R,O,G,W,W,O,W,Y,B,B,G,O,G,G,G,G,G,G,R,R,G,R,R,O,R,R,O,O,B,O,O,O,R,W,W,W,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,W
0.6107566, -1.8445044, 0,state, 0, 25, 47, 47,B,R,O,O,W,W,G,W,Y,W,B,G,Y,G,G,Y,G,G,G,R,R,G,R,R,O,R,R,B,O,W,O,O,W,O,O,R,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,G,B,B,O,W,W
-0.3142466, -3.7123597, 0,state, 0, 23, 48, 48,Y,W,G,W,W,O,O,R,B,W,W,O,Y,G,G,Y,G,G,R,R,R,W,R,R,W,R,R,B,O,O,O,O,G,O,O,G,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,G,B,B,G,B,W
-0.76010156, -4.224418, 0,state, 0, 21, 49, 49,B,W,G,B,W,O,R,R,B,W,W,O,G,G,G,G,G,G,R,R,R,W,R,R,W,R,R,G,O,O,G,O,O,O,O,B,Y,Y,Y,W,Y,Y,O,Y,Y,W,B,B,Y,B,B,Y,B,W
7.9183154, -12.294454, 0,state, 0, 27, 50, 50,B,W,G,B,W,O,W,R,R,O,G,G,W,G,G,W,G,G,R,R,R,W,R,R,Y,Y,Y,G,O,O,G,O,O,R,R,B,B,O,O,W,Y,Y,O,Y,Y,W,B,B,Y,B,B,Y,B,W
7.315146, -13.615358, 0,state, 0, 22, 51, 51,O,W,G,W,W,O,W,R,R,B,G,G,W,G,G,O,G,G,R,R,R,W,R,R,Y,Y,Y,O,O,B,O,O,R,G,G,R,W,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,W
29.948896, 5.7788167, 0,state, 0, 21, 52, 52,O,W,G,W,W,O,O,O,W,G,G,O,G,G,W,G,G,B,R,R,R,W,R,R,G,G,R,O,O,B,O,O,R,Y,Y,Y,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,W
33.304863, 7.2936215, 0,state, 0, 25, 53, 53,O,W,O,W,W,W,O,O,B,G,G,W,G,G,Y,G,G,Y,G,W,R,G,R,R,R,R,R,O,O,B,O,O,R,Y,Y,Y,R,R,B,Y,Y,B,Y,Y,W,B,B,G,B,B,O,W,B,W
37.298134, 4.8075666, 0,state, 0, 26, 54, 54,O,W,O,O,W,W,B,W,O,R,G,G,G,G,Y,G,G,Y,W,W,R,B,R,R,W,R,R,O,O,G,O,O,G,Y,Y,W,R,R,B,Y,Y,B,Y,Y,W,B,B,G,B,B,O,Y,R,B
34.55844, 0.50684047, 0,state, 0, 25, 55, 55,O,W,G,O,W,O,B,W,B,R,G,O,G,G,W,G,G,O,R,R,R,W,R,R,W,B,W,O,O,G,O,O,G,Y,Y,W,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,R,W
28.373795, 4.2713356, 0,state, 0, 24, 56, 56,G,O,B,W,W,W,O,O,B,G,G,W,G,G,W,G,G,O,O,R,R,G,R,R,R,B,W,O,O,W,O,O,R,Y,Y,Y,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,W
33.023254, 8.764651, 0,state, 0, 24, 57, 57,G,O,W,W,W,W,O,O,O,G,G,G,G,G,Y,G,G,Y,R,G,O,B,R,R,W,R,R,O,O,W,O,O,R,Y,Y,Y,R,R,B,Y,Y,B,Y,Y,W,B,B,B,B,B,W,R,W,B
38.88595, 4.9855857, 0,state, 0, 28, 58, 58,O,W,G,O,W,O,O,W,W,W,B,R,G,G,Y,G,G,Y,R,G,O,W,R,R,B,R,R,O,O,G,O,O,G,Y,Y,G,R,R,B,Y,Y,B,Y,Y,W,B,B,B,B,B,W,Y,R,W
