vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
130,6,1.0,4,-6.09265794180349,0.15624271127666448,973,0,6,1,4,5,10,3,10,3,1,1123,3,2,0,0,2,7,3,5,2,4,982,4,3,0,2,16,1,0,0,3,10,976,0,11,0,1,9,4,1,0,6,0,944,0,5,0,6,7,1,0,3,8,0,848,26,0,4,3,0,2,6,0,5,3,911,0,4,2,0,0,5,5,0,1,0,953,2,0,1,3,7,8,1,18,2,3,917,2,1,0,4,6,25,6,0,45,18,983
131,6,1.0,5,-6.500618170301762,-0.5371925216754252,972,0,6,1,4,6,13,3,8,3,1,1124,3,2,0,0,2,6,2,4,2,3,984,4,5,0,2,15,1,0,0,2,9,975,0,9,0,2,10,4,1,0,6,0,948,0,9,0,6,10,1,0,2,9,0,849,24,0,3,3,1,3,6,0,3,2,906,0,5,2,0,0,6,5,0,2,0,967,3,0,1,3,7,7,1,19,2,3,922,2,1,0,3,7,21,5,0,32,14,981
132,6,1.0,6,-6.388359348883114,-1.051599744829999,973,0,9,1,4,5,13,3,7,3,1,1123,3,1,0,0,2,6,1,3,2,4,982,5,5,0,2,12,1,0,0,2,7,978,0,8,0,4,12,4,1,0,5,0,949,0,6,0,7,11,1,0,2,9,0,858,25,1,4,3,0,2,6,0,4,3,908,0,5,3,0,0,7,5,0,1,0,974,3,0,1,3,7,7,1,12,2,3,925,2,1,1,4,4,19,5,0,25,9,980
133,6,1.0,7,-6.082827400324277,-1.2848747670207925,972,0,9,3,3,4,13,4,7,4,1,1123,2,1,0,0,2,6,1,3,2,4,985,5,6,0,2,15,3,0,0,1,6,969,0,9,0,3,11,3,1,2,5,0,952,0,7,0,7,10,2,0,2,11,0,858,26,1,6,3,0,2,3,0,4,3,906,0,3,3,0,0,9,5,0,1,0,975,3,0,1,3,8,10,1,11,2,2,923,2,1,0,3,6,16,6,0,22,10,981
134,6,1.0,8,-5.96327078495501,-1.5083858292111576,973,1,8,3,2,4,13,4,7,4,1,1123,2,0,0,0,2,6,0,4,2,4,988,5,7,1,2,13,4,1,0,1,6,976,0,8,0,4,9,3,1,0,5,0,951,0,8,0,7,10,2,0,1,10,0,859,28,2,8,3,0,2,2,0,4,2,904,0,5,3,0,0,8,5,0,2,0,976,3,1,0,4,9,8,1,10,1,3,921,1,1,0,3,3,17,6,0,20,10,979
135,6,1.0,9,-6.438341891521482,-1.2519300242315943,970,1,8,3,2,4,13,4,7,3,1,1119,1,0,0,0,3,6,0,4,2,4,991,5,6,0,2,14,4,0,0,1,7,978,0,7,0,2,9,3,1,0,4,0,953,0,8,0,5,10,2,0,1,8,0,862,29,2,8,5,0,3,3,0,4,0,902,0,6,3,2,1,8,4,0,2,0,969,3,0,1,6,7,9,1,12,1,3,922,1,1,0,2,3,16,5,0,28,10,980
136,6,1.0,10,-6.087682542582469,-1.3565168390023257,972,2,8,4,2,5,14,4,6,2,1,1120,3,1,0,0,3,6,0,4,2,3,989,4,6,0,2,13,6,1,0,1,6,977,0,8,0,2,11,3,1,0,3,0,954,0,8,0,4,12,0,0,1,9,0,859,29,2,7,4,0,3,3,0,4,1,901,0,5,3,2,1,9,3,0,2,0,972,2,3,1,5,9,8,1,11,1,4,923,1,1,0,1,4,15,6,0,25,10,976
137,6,1.0,11,-5.992100325312144,-1.5425415678920362,969,2,7,5,2,5,13,3,7,3,1,1122,5,1,0,1,3,8,0,4,2,3,991,5,6,0,2,13,4,0,0,1,6,976,0,8,0,1,10,2,1,0,3,0,955,0,8,0,4,11,2,0,1,9,0,858,33,2,10,6,1,3,3,0,3,3,899,0,3,3,2,1,9,4,0,2,0,972,2,2,1,3,6,7,1,10,0,5,925,2,1,0,1,3,15,5,0,24,9,976
138,6,1.0,12,-6.559745786335868,-1.3876019195931208,968,2,7,5,2,5,11,3,5,3,1,1123,5,1,0,1,3,8,0,4,2,2,993,6,6,0,2,15,2,0,0,1,6,974,0,6,0,1,10,3,1,0,3,0,953,0,6,0,5,10,2,0,0,9,0,860,28,3,11,5,2,3,3,0,3,2,907,0,3,3,1,0,6,4,0,2,0,964,2,2,1,4,7,6,1,11,1,5,926,2,2,0,2,5,17,5,0,29,10,977
139,6,1.0,13,-6.009585428054312,-2.1304231836205436,968,3,7,7,2,6,13,3,6,3,1,1121,4,1,0,1,3,7,0,4,2,3,994,6,6,0,2,14,3,0,0,1,6,973,0,7,0,2,8,1,1,0,3,0,953,0,6,0,6,12,2,0,0,9,0,854,23,2,11,6,2,3,3,0,3,4,911,0,3,3,2,1,8,5,0,2,0,976,2,2,1,3,6,4,1,12,0,4,927,1,1,0,1,5,17,6,0,20,8,977
140,6,1.0,14,-5.833677397674381,-2.0122852439081163,969,2,8,7,2,5,14,3,7,3,1,1123,7,1,1,0,3,7,0,5,2,3,994,7,6,0,2,16,4,0,0,1,5,974,0,7,0,1,9,1,0,1,3,0,952,0,6,1,5,9,2,0,0,10,0,861,27,1,9,6,2,2,3,0,2,2,906,0,4,3,2,1,6,3,0,2,0,974,2,3,1,2,5,4,1,10,0,6,926,1,1,0,1,4,18,5,0,19,8,978
141,6,1.0,15,-5.870375388455029,-2.150794651080454,969,3,7,5,2,5,13,3,7,3,1,1122,7,1,1,0,2,6,0,5,2,4,995,7,6,0,2,14,5,0,0,1,6,977,0,6,0,2,10,1,0,1,0,0,949,0,5,1,4,8,2,0,0,8,0,861,26,1,10,6,2,2,4,0,3,5,910,0,4,3,2,0,7,4,0,2,0,975,3,3,1,2,5,4,1,9,0,6,923,1,1,0,1,4,20,4,0,20,8,979
142,6,1.0,16,-5.173451568274316,-2.061439129940569,969,2,7,6,2,5,13,3,8,6,1,1122,8,1,0,0,3,6,1,4,2,3,992,7,7,0,3,12,5,0,0,1,5,971,0,6,0,2,8,0,0,2,2,0,954,0,6,1,3,10,1,0,0,9,0,868,30,1,13,5,2,2,3,0,3,2,903,0,3,2,3,1,7,4,0,2,0,982,3,4,1,2,7,8,1,6,0,6,922,1,1,0,1,4,15,3,0,15,8,977
143,6,1.0,17,-5.019148946497931,-2.255257837747785,970,2,7,7,2,6,13,3,7,6,1,1123,9,1,1,0,2,6,1,5,2,3,991,7,7,0,4,13,3,0,0,1,6,968,0,6,0,1,9,0,0,3,1,0,951,0,6,1,2,8,1,0,0,10,0,867,24,1,11,4,2,1,2,0,3,2,909,0,3,2,2,1,8,4,1,2,0,983,4,6,1,1,7,8,1,6,0,6,926,2,1,0,1,5,16,3,0,14,8,976
144,6,1.0,18,-5.277809175632651,-2.2957097709200696,969,1,7,6,2,7,14,3,7,5,1,1125,7,1,1,0,2,6,1,3,3,4,996,6,6,0,2,10,3,0,0,1,4,974,0,6,0,2,10,0,0,1,2,0,953,0,6,1,2,9,1,0,0,8,0,864,25,1,10,4,1,1,3,0,3,2,909,0,4,3,3,1,6,4,0,2,0,982,4,7,1,1,6,6,1,8,0,6,925,2,1,0,1,5,16,3,0,17,8,976
145,6,1.0,19,-4.955239744481609,-2.3144243534034903,971,1,7,5,2,5,13,3,7,5,1,1124,8,1,0,0,2,6,1,4,2,4,991,6,6,0,4,11,3,0,0,1,6,975,0,7,0,1,10,1,0,1,2,0,954,0,6,1,2,9,0,0,1,6,0,866,24,0,10,4,1,1,3,0,3,2,907,0,3,3,3,1,7,5,0,2,1,986,5,7,1,2,6,7,1,7,1,5,926,2,1,0,1,5,16,3,0,15,7,974
146,6,1.0,20,-4.898941834449619,-2.3142328172114306,971,0,6,4,3,4,12,3,7,5,1,1124,7,1,1,0,2,6,0,4,2,6,995,6,8,0,4,12,4,0,0,1,6,978,0,6,0,1,11,2,0,1,3,0,948,0,6,1,3,8,0,0,0,7,0,868,27,1,11,3,1,1,2,0,3,2,904,0,3,3,3,0,8,6,1,2,1,985,4,8,1,2,4,6,1,7,2,5,924,4,1,0,1,2,17,3,0,14,7,972
