x,y,line,cp,algo,age,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
23.583544189314104,16.371063495056365,0,0,Nf3,29,br,,bb,bq,,br,bk,,bp,bp,,bn,,,,bp,,,bp,,bp,,bp,,,,wp,bp,wp,bp,,,,wp,,wp,,,,,,,wn,,,,wp,,wp,,,,wp,,wb,wp,wr,,,wq,,wr,wk,
23.333447118839313,16.107978531388856,0,0,Nf3,30,br,,bb,bq,,br,bk,,bp,,,bn,,,,bp,,bp,bp,,bp,,bp,,,,wp,bp,wp,bp,,,,wp,,wp,,,,,,,wn,,,,wp,,wp,,,,wp,,wb,wp,wr,,,wq,,wr,wk,
23.108109795494165,15.887764287124655,0,0,Nf3,31,br,,bb,bq,,br,bk,,bp,,,bn,,,,bp,,bp,bp,,bp,,bp,,,,wp,bp,wp,bp,,,,wp,,wp,,,,,,,wn,,,,wp,,wp,,wq,,wp,,wb,wp,wr,,,,,wr,wk,
22.883650339618995,15.67438235645192,0,0,Nf3,32,br,,bb,bq,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,,wp,,,,,,,wn,,,,wp,,wp,,wq,,wp,,wb,wp,wr,,,,,wr,wk,
22.666444501821584,15.484376116433905,0,0,Nf3,33,br,,bb,bq,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,,wp,,,,,wp,,wn,,,,wp,,,,wq,,wp,,wb,wp,wr,,,,,wr,wk,
22.555952722750455,15.386756606520853,0,0,Nf3,34,br,,,bq,,br,bk,,,,,bn,,,,bp,bb,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,,wp,,,,,wp,,wn,,,,wp,,,,wq,,wp,,wb,wp,wr,,,,,wr,wk,
22.401336991388494,15.261310266766486,0,0,Nf3,35,br,,,bq,,br,bk,,,,,bn,,,,bp,bb,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,,wp,,,,,wp,,wn,,,,wp,,,,wq,,wp,,wb,wp,wr,wr,,,,,wk,
22.325874464116076,15.193453149306976,0,0,Nf3,36,br,,,bq,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,bb,wp,,,,,wp,,wn,,,,wp,,,,wq,,wp,,wb,wp,wr,wr,,,,,wk,
22.14476606644847,15.05681584113984,0,0,Nf3,37,br,,,bq,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,,,,wp,bb,wp,,,,,wp,,wn,,wp,,wp,,,,wq,,,,wb,wp,wr,wr,,,,,wk,
21.958576105771563,14.899721761246779,0,0,Nf3,38,br,,,,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,bb,wp,,,,,wp,,wn,,wp,,wp,,,,wq,,,,wb,wp,wr,wr,,,,,wk,
