x,y,line{"project":false},cp{"project":false},algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-5.4000273000000005,11.516392999999999,0,state,beginner,22,83,83,B,W,O,W,W,G,R,W,G,G,R,Y,G,G,Y,G,G,Y,G,B,R,R,R,R,R,R,R,O,O,W,O,O,G,O,O,W,Y,Y,B,Y,Y,B,Y,Y,B,B,B,W,B,B,W,O,O,W
0.8404038,3.8301988,0,state,beginner,11,84,84,B,W,W,W,W,W,R,W,W,G,R,O,G,G,G,G,G,G,R,R,R,B,R,R,G,R,R,O,O,W,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,O,B
-0.90680826,2.1358638,0,state,beginner,9,85,85,W,W,W,W,W,W,B,W,R,W,G,W,G,G,G,G,G,G,O,R,R,R,R,R,G,R,R,O,O,B,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,G
-1.7359950000000002,-0.664838,0,state,beginner,16,86,86,W,W,W,G,W,W,G,W,R,Y,G,W,Y,G,G,Y,G,G,O,R,R,R,R,R,G,R,R,B,O,O,O,O,O,O,O,O,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,W,B,B,B,B,G
-3.2205355,0.24987033,0,state,beginner,22,87,87,G,G,W,W,W,W,R,W,W,G,R,O,Y,G,G,Y,G,G,B,R,R,B,R,R,G,R,R,B,O,Y,O,O,G,O,O,W,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,W,B,B,O,O,O
-7.482993,12.024461,0,state,beginner,32,88,88,G,G,O,W,W,G,R,W,G,G,R,Y,Y,G,Y,Y,G,Y,G,B,B,R,R,R,R,R,R,B,O,Y,O,O,G,O,O,W,B,Y,B,B,Y,B,R,Y,O,W,B,W,W,B,W,O,O,W
-8.753614,9.366772000000001,0,state,beginner,31,89,89,O,G,G,G,W,W,G,W,R,Y,G,W,Y,G,Y,Y,G,Y,Y,B,B,R,R,R,G,R,R,B,O,W,O,O,O,O,O,O,B,Y,B,B,Y,B,R,Y,O,W,B,W,W,B,W,G,R,R
-6.794223,8.802533,0,state,beginner,22,90,90,W,G,G,W,W,W,G,W,R,O,G,W,G,G,Y,G,G,Y,Y,B,B,R,R,R,G,R,R,O,O,B,O,O,O,O,O,W,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,R,R,R
-5.7496448,10.841935000000001,0,state,beginner,19,91,91,G,W,W,W,W,G,R,W,G,G,R,Y,G,G,Y,G,G,Y,R,B,B,R,R,R,R,R,R,O,O,O,O,O,G,O,O,W,Y,Y,B,Y,Y,B,Y,Y,O,B,B,W,B,B,W,W,O,B
0.44200847,4.6737404,0,state,beginner,12,92,92,G,W,W,W,W,W,R,W,B,G,R,W,G,G,G,G,G,G,B,R,R,B,R,R,R,R,R,O,O,O,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,O,O
